bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-23,1993,4,m,Dundas,60,y,cla,1,2z,a,29,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,NA,y,cam,1,4z,a,1,un,GLBA,19930423jlb2,Arthropoda
1993-04-23,1993,4,m,Dundas,263,y,cam,1,4z,a,2,un,GLBA,19930423jlb2,Arthropoda
1993-04-23,1993,4,m,Dundas,44,y,std,1,2z,a,3,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,30,y,std,1,1z,a,5,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,26,y,sag,1,2z,a,6,un,GLBA,19930423jlb2,Mollusca
1993-04-23,1993,4,m,Dundas,42,y,std,1,1z,a,7,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,35,y,std,1,2z,a,9,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,73,n,,NA,,a,10,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,42,n,,NA,,a,11,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,16,u,,NA,,a,12,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,28,n,,NA,,a,13,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,43,n,,NA,,a,14,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,48,y,sag,1,3z,a,15,un,GLBA,19930423jlb2,Mollusca
1993-04-23,1993,4,m,Dundas,56,n,,NA,,a,16,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,45,y,std,1,1z,a,17,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,16,y,std,1,2z,a,19,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,23,y,std,1,2z,a,20,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,16,y,std,1,2z,a,21,un,GLBA,19930423jlb2,Echinodermata
1993-04-23,1993,4,m,Dundas,48,n,,NA,,a,22,un,GLBA,19930423jlb2,NA
1993-04-23,1993,4,m,Dundas,43,u,,NA,,a,23,un,GLBA,19930423jlb2,NA
